inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,0,0,117,1,7,0,7,0,0,0,put0_0 != get0 && CONST_0 == ((get1 + get0) % CONST_1) && CONST_0 == ((put0_1 + put0_0) % CONST_1)
2,0,0,0,117,1,17,0,17,0,0,0,put1_0 != get0 && put0_0 != get0 && CONST_0 == ((get1 + get0) % CONST_2) && CONST_0 == ((put1_1 + put1_0) % CONST_2) && CONST_0 == ((put0_1 + put0_0) % CONST_2)
3,0,0,0,117,1,31,0,31,0,0,0,put2_0 != get0 && put1_0 != get0 && put0_0 != get0 && CONST_0 == ((get1 + get0) % CONST_3) && CONST_0 == ((put2_1 + put2_0) % CONST_3) && CONST_0 == ((put1_1 + put1_0) % CONST_3) && CONST_0 == ((put0_1 + put0_0) % CONST_3)
4,0,0,0,117,1,49,0,49,0,0,0,put3_0 != get0 && put2_0 != get0 && put1_0 != get0 && put0_0 != get0 && CONST_0 == ((get1 + get0) % CONST_4) && CONST_0 == ((put3_1 + put3_0) % CONST_4) && CONST_0 == ((put2_1 + put2_0) % CONST_4) && CONST_0 == ((put1_1 + put1_0) % CONST_4) && CONST_0 == ((put0_1 + put0_0) % CONST_4)
5,0,0,0,117,1,71,0,71,0,0,0,put4_0 != get0 && put3_0 != get0 && put2_0 != get0 && put1_0 != get0 && put0_0 != get0 && CONST_0 == ((get1 + get0) % CONST_5) && CONST_0 == ((put4_1 + put4_0) % CONST_5) && CONST_0 == ((put3_1 + put3_0) % CONST_5) && CONST_0 == ((put2_1 + put2_0) % CONST_5) && CONST_0 == ((put1_1 + put1_0) % CONST_5) && CONST_0 == ((put0_1 + put0_0) % CONST_5)
6,0,0,0,117,1,97,0,97,0,0,0,put5_0 != get0 && put4_0 != get0 && put3_0 != get0 && put2_0 != get0 && put1_0 != get0 && put0_0 != get0 && CONST_0 == ((get1 + get0) % CONST_6) && CONST_0 == ((put5_1 + put5_0) % CONST_6) && CONST_0 == ((put4_1 + put4_0) % CONST_6) && CONST_0 == ((put3_1 + put3_0) % CONST_6) && CONST_0 == ((put2_1 + put2_0) % CONST_6) && CONST_0 == ((put1_1 + put1_0) % CONST_6) && CONST_0 == ((put0_1 + put0_0) % CONST_6)
7,0,0,0,117,1,127,0,127,0,0,0,put6_0 != get0 && put5_0 != get0 && put4_0 != get0 && put3_0 != get0 && put2_0 != get0 && put1_0 != get0 && put0_0 != get0 && CONST_0 == ((get1 + get0) % CONST_7) && CONST_0 == ((put6_1 + put6_0) % CONST_7) && CONST_0 == ((put5_1 + put5_0) % CONST_7) && CONST_0 == ((put4_1 + put4_0) % CONST_7) && CONST_0 == ((put3_1 + put3_0) % CONST_7) && CONST_0 == ((put2_1 + put2_0) % CONST_7) && CONST_0 == ((put1_1 + put1_0) % CONST_7) && CONST_0 == ((put0_1 + put0_0) % CONST_7)
8,0,0,0,117,1,161,0,161,0,0,0,put7_0 != get0 && put6_0 != get0 && put5_0 != get0 && put4_0 != get0 && put3_0 != get0 && put2_0 != get0 && put1_0 != get0 && put0_0 != get0 && CONST_0 == ((get1 + get0) % CONST_8) && CONST_0 == ((put7_1 + put7_0) % CONST_8) && CONST_0 == ((put6_1 + put6_0) % CONST_8) && CONST_0 == ((put5_1 + put5_0) % CONST_8) && CONST_0 == ((put4_1 + put4_0) % CONST_8) && CONST_0 == ((put3_1 + put3_0) % CONST_8) && CONST_0 == ((put2_1 + put2_0) % CONST_8) && CONST_0 == ((put1_1 + put1_0) % CONST_8) && CONST_0 == ((put0_1 + put0_0) % CONST_8)
9,0,0,0,117,1,199,0,199,0,0,0,put8_0 != get0 && put7_0 != get0 && put6_0 != get0 && put5_0 != get0 && put4_0 != get0 && put3_0 != get0 && put2_0 != get0 && put1_0 != get0 && put0_0 != get0 && CONST_0 == ((get1 + get0) % CONST_9) && CONST_0 == ((put8_1 + put8_0) % CONST_9) && CONST_0 == ((put7_1 + put7_0) % CONST_9) && CONST_0 == ((put6_1 + put6_0) % CONST_9) && CONST_0 == ((put5_1 + put5_0) % CONST_9) && CONST_0 == ((put4_1 + put4_0) % CONST_9) && CONST_0 == ((put3_1 + put3_0) % CONST_9) && CONST_0 == ((put2_1 + put2_0) % CONST_9) && CONST_0 == ((put1_1 + put1_0) % CONST_9) && CONST_0 == ((put0_1 + put0_0) % CONST_9)
10,0,0,0,117,1,241,0,241,0,0,0,put9_0 != get0 && put8_0 != get0 && put7_0 != get0 && put6_0 != get0 && put5_0 != get0 && put4_0 != get0 && put3_0 != get0 && put2_0 != get0 && put1_0 != get0 && put0_0 != get0 && CONST_0 == ((get1 + get0) % CONST_10) && CONST_0 == ((put9_1 + put9_0) % CONST_10) && CONST_0 == ((put8_1 + put8_0) % CONST_10) && CONST_0 == ((put7_1 + put7_0) % CONST_10) && CONST_0 == ((put6_1 + put6_0) % CONST_10) && CONST_0 == ((put5_1 + put5_0) % CONST_10) && CONST_0 == ((put4_1 + put4_0) % CONST_10) && CONST_0 == ((put3_1 + put3_0) % CONST_10) && CONST_0 == ((put2_1 + put2_0) % CONST_10) && CONST_0 == ((put1_1 + put1_0) % CONST_10) && CONST_0 == ((put0_1 + put0_0) % CONST_10)
11,0,0,0,117,1,287,0,287,0,0,0,put10_0 != get0 && put9_0 != get0 && put8_0 != get0 && put7_0 != get0 && put6_0 != get0 && put5_0 != get0 && put4_0 != get0 && put3_0 != get0 && put2_0 != get0 && put1_0 != get0 && put0_0 != get0 && CONST_0 == ((get1 + get0) % CONST_11) && CONST_0 == ((put10_1 + put10_0) % CONST_11) && CONST_0 == ((put9_1 + put9_0) % CONST_11) && CONST_0 == ((put8_1 + put8_0) % CONST_11) && CONST_0 == ((put7_1 + put7_0) % CONST_11) && CONST_0 == ((put6_1 + put6_0) % CONST_11) && CONST_0 == ((put5_1 + put5_0) % CONST_11) && CONST_0 == ((put4_1 + put4_0) % CONST_11) && CONST_0 == ((put3_1 + put3_0) % CONST_11) && CONST_0 == ((put2_1 + put2_0) % CONST_11) && CONST_0 == ((put1_1 + put1_0) % CONST_11) && CONST_0 == ((put0_1 + put0_0) % CONST_11)
12,0,0,0,117,1,337,0,337,0,0,0,put11_0 != get0 && put10_0 != get0 && put9_0 != get0 && put8_0 != get0 && put7_0 != get0 && put6_0 != get0 && put5_0 != get0 && put4_0 != get0 && put3_0 != get0 && put2_0 != get0 && put1_0 != get0 && put0_0 != get0 && CONST_0 == ((get1 + get0) % CONST_12) && CONST_0 == ((put11_1 + put11_0) % CONST_12) && CONST_0 == ((put10_1 + put10_0) % CONST_12) && CONST_0 == ((put9_1 + put9_0) % CONST_12) && CONST_0 == ((put8_1 + put8_0) % CONST_12) && CONST_0 == ((put7_1 + put7_0) % CONST_12) && CONST_0 == ((put6_1 + put6_0) % CONST_12) && CONST_0 == ((put5_1 + put5_0) % CONST_12) && CONST_0 == ((put4_1 + put4_0) % CONST_12) && CONST_0 == ((put3_1 + put3_0) % CONST_12) && CONST_0 == ((put2_1 + put2_0) % CONST_12) && CONST_0 == ((put1_1 + put1_0) % CONST_12) && CONST_0 == ((put0_1 + put0_0) % CONST_12)
