inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,14,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
2,0,14,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
3,12,173,0,117,1,12,0,12,0,0,0,in2 == CONST_37 && in2 != CONST_36 && in2 != CONST_35 && in2 != CONST_64 && in1 == CONST_37 && in1 != CONST_36 && in1 != CONST_35 && in1 != CONST_64 && in0 == CONST_37 && in0 != CONST_36 && in0 != CONST_35 && in0 != CONST_64
4,16,222,0,117,1,16,0,16,0,0,0,in3 == CONST_37 && in3 != CONST_36 && in3 != CONST_35 && in3 != CONST_64 && in2 == CONST_37 && in2 != CONST_36 && in2 != CONST_35 && in2 != CONST_64 && in1 == CONST_37 && in1 != CONST_36 && in1 != CONST_35 && in1 != CONST_64 && in0 == CONST_37 && in0 != CONST_36 && in0 != CONST_35 && in0 != CONST_64
5,20,271,0,117,1,20,0,20,0,0,0,in4 == CONST_37 && in4 != CONST_36 && in4 != CONST_35 && in4 != CONST_64 && in3 == CONST_37 && in3 != CONST_36 && in3 != CONST_35 && in3 != CONST_64 && in2 == CONST_37 && in2 != CONST_36 && in2 != CONST_35 && in2 != CONST_64 && in1 == CONST_37 && in1 != CONST_36 && in1 != CONST_35 && in1 != CONST_64 && in0 == CONST_37 && in0 != CONST_36 && in0 != CONST_35 && in0 != CONST_64
6,24,320,0,117,1,24,0,24,0,0,0,in5 == CONST_37 && in5 != CONST_36 && in5 != CONST_35 && in5 != CONST_64 && in4 == CONST_37 && in4 != CONST_36 && in4 != CONST_35 && in4 != CONST_64 && in3 == CONST_37 && in3 != CONST_36 && in3 != CONST_35 && in3 != CONST_64 && in2 == CONST_37 && in2 != CONST_36 && in2 != CONST_35 && in2 != CONST_64 && in1 == CONST_37 && in1 != CONST_36 && in1 != CONST_35 && in1 != CONST_64 && in0 == CONST_37 && in0 != CONST_36 && in0 != CONST_35 && in0 != CONST_64
7,28,369,0,117,1,28,0,28,0,0,0,in6 == CONST_37 && in6 != CONST_36 && in6 != CONST_35 && in6 != CONST_64 && in5 == CONST_37 && in5 != CONST_36 && in5 != CONST_35 && in5 != CONST_64 && in4 == CONST_37 && in4 != CONST_36 && in4 != CONST_35 && in4 != CONST_64 && in3 == CONST_37 && in3 != CONST_36 && in3 != CONST_35 && in3 != CONST_64 && in2 == CONST_37 && in2 != CONST_36 && in2 != CONST_35 && in2 != CONST_64 && in1 == CONST_37 && in1 != CONST_36 && in1 != CONST_35 && in1 != CONST_64 && in0 == CONST_37 && in0 != CONST_36 && in0 != CONST_35 && in0 != CONST_64
8,32,418,0,117,1,32,0,32,0,0,0,in7 == CONST_37 && in7 != CONST_36 && in7 != CONST_35 && in7 != CONST_64 && in6 == CONST_37 && in6 != CONST_36 && in6 != CONST_35 && in6 != CONST_64 && in5 == CONST_37 && in5 != CONST_36 && in5 != CONST_35 && in5 != CONST_64 && in4 == CONST_37 && in4 != CONST_36 && in4 != CONST_35 && in4 != CONST_64 && in3 == CONST_37 && in3 != CONST_36 && in3 != CONST_35 && in3 != CONST_64 && in2 == CONST_37 && in2 != CONST_36 && in2 != CONST_35 && in2 != CONST_64 && in1 == CONST_37 && in1 != CONST_36 && in1 != CONST_35 && in1 != CONST_64 && in0 == CONST_37 && in0 != CONST_36 && in0 != CONST_35 && in0 != CONST_64
9,36,467,0,117,1,36,0,36,0,0,0,in8 == CONST_37 && in8 != CONST_36 && in8 != CONST_35 && in8 != CONST_64 && in7 == CONST_37 && in7 != CONST_36 && in7 != CONST_35 && in7 != CONST_64 && in6 == CONST_37 && in6 != CONST_36 && in6 != CONST_35 && in6 != CONST_64 && in5 == CONST_37 && in5 != CONST_36 && in5 != CONST_35 && in5 != CONST_64 && in4 == CONST_37 && in4 != CONST_36 && in4 != CONST_35 && in4 != CONST_64 && in3 == CONST_37 && in3 != CONST_36 && in3 != CONST_35 && in3 != CONST_64 && in2 == CONST_37 && in2 != CONST_36 && in2 != CONST_35 && in2 != CONST_64 && in1 == CONST_37 && in1 != CONST_36 && in1 != CONST_35 && in1 != CONST_64 && in0 == CONST_37 && in0 != CONST_36 && in0 != CONST_35 && in0 != CONST_64
10,40,516,0,117,1,40,0,40,0,0,0,in9 == CONST_37 && in9 != CONST_36 && in9 != CONST_35 && in9 != CONST_64 && in8 == CONST_37 && in8 != CONST_36 && in8 != CONST_35 && in8 != CONST_64 && in7 == CONST_37 && in7 != CONST_36 && in7 != CONST_35 && in7 != CONST_64 && in6 == CONST_37 && in6 != CONST_36 && in6 != CONST_35 && in6 != CONST_64 && in5 == CONST_37 && in5 != CONST_36 && in5 != CONST_35 && in5 != CONST_64 && in4 == CONST_37 && in4 != CONST_36 && in4 != CONST_35 && in4 != CONST_64 && in3 == CONST_37 && in3 != CONST_36 && in3 != CONST_35 && in3 != CONST_64 && in2 == CONST_37 && in2 != CONST_36 && in2 != CONST_35 && in2 != CONST_64 && in1 == CONST_37 && in1 != CONST_36 && in1 != CONST_35 && in1 != CONST_64 && in0 == CONST_37 && in0 != CONST_36 && in0 != CONST_35 && in0 != CONST_64
11,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
12,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
13,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
14,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
15,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
16,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
17,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
18,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
19,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
20,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
21,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
22,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
23,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
24,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
25,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
26,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
27,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
28,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
29,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
30,0,18,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
