inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,46,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
2,1,76,0,117,1,1,0,1,0,0,0,in1 < in0
3,1,100,0,117,1,1,0,1,0,0,0,in1 < in0
4,3,141,0,117,1,3,0,3,0,0,0,in3 < in2 && in1 < in0 && in0 < in3
5,3,165,0,117,1,3,0,3,0,0,0,in3 < in2 && in1 < in0 && in0 < in3
6,5,206,0,117,1,5,0,5,0,0,0,in5 < in4 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
7,5,230,0,117,1,5,0,5,0,0,0,in5 < in4 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
8,7,271,0,117,1,7,0,7,0,0,0,in7 < in6 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
9,7,295,0,117,1,7,0,7,0,0,0,in7 < in6 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
10,9,336,0,117,1,9,0,9,0,0,0,in9 < in8 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
11,9,360,0,117,1,9,0,9,0,0,0,in9 < in8 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
12,11,401,0,117,1,11,0,11,0,0,0,in11 < in10 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
13,11,425,0,117,1,11,0,11,0,0,0,in11 < in10 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
14,13,466,0,117,1,13,0,13,0,0,0,in13 < in12 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
15,13,490,0,117,1,13,0,13,0,0,0,in13 < in12 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
