inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,51,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
2,1,81,0,117,1,1,0,1,0,0,0,in1 < in0
3,2,121,0,117,2,2,0,2,0,2,0,in1 < in0 && in0 < in2
4,3,146,0,117,1,3,0,3,0,0,0,in3 < in2 && in1 < in0 && in0 < in3
5,4,186,0,117,2,4,0,4,0,2,0,in3 < in2 && in2 < in4 && in1 < in0 && in0 < in3
6,5,211,0,117,1,5,0,5,0,0,0,in5 < in4 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
7,6,251,0,117,2,6,0,6,0,2,0,in5 < in4 && in4 < in6 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
8,7,276,0,117,1,7,0,7,0,0,0,in7 < in6 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
9,8,316,0,117,2,8,0,8,0,2,0,in7 < in6 && in6 < in8 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
10,9,341,0,117,1,9,0,9,0,0,0,in9 < in8 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
11,10,381,0,117,2,10,0,10,0,2,0,in9 < in8 && in8 < in10 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
12,11,406,0,117,1,11,0,11,0,0,0,in11 < in10 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
13,12,446,0,117,2,12,0,12,0,2,0,in11 < in10 && in10 < in12 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
14,13,471,0,117,1,13,0,13,0,0,0,in13 < in12 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
15,14,511,0,117,2,14,0,14,0,2,0,in13 < in12 && in12 < in14 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
16,15,536,0,117,1,15,0,15,0,0,0,in15 < in14 && in13 < in12 && in12 < in15 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
17,16,576,0,117,2,16,0,16,0,2,0,in15 < in14 && in14 < in16 && in13 < in12 && in12 < in15 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
18,17,601,0,117,1,17,0,17,0,0,0,in17 < in16 && in15 < in14 && in14 < in17 && in13 < in12 && in12 < in15 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
19,18,641,0,117,2,18,0,18,0,2,0,in17 < in16 && in16 < in18 && in15 < in14 && in14 < in17 && in13 < in12 && in12 < in15 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
20,19,666,0,117,1,19,0,19,0,0,0,in19 < in18 && in17 < in16 && in16 < in19 && in15 < in14 && in14 < in17 && in13 < in12 && in12 < in15 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
21,20,706,0,117,2,20,0,20,0,2,0,in19 < in18 && in18 < in20 && in17 < in16 && in16 < in19 && in15 < in14 && in14 < in17 && in13 < in12 && in12 < in15 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
22,21,731,0,117,1,21,0,21,0,0,0,in21 < in20 && in19 < in18 && in18 < in21 && in17 < in16 && in16 < in19 && in15 < in14 && in14 < in17 && in13 < in12 && in12 < in15 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
23,22,771,0,117,2,22,0,22,0,2,0,in21 < in20 && in20 < in22 && in19 < in18 && in18 < in21 && in17 < in16 && in16 < in19 && in15 < in14 && in14 < in17 && in13 < in12 && in12 < in15 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
24,23,796,0,117,1,23,0,23,0,0,0,in23 < in22 && in21 < in20 && in20 < in23 && in19 < in18 && in18 < in21 && in17 < in16 && in16 < in19 && in15 < in14 && in14 < in17 && in13 < in12 && in12 < in15 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
25,24,836,0,117,2,24,0,24,0,2,0,in23 < in22 && in22 < in24 && in21 < in20 && in20 < in23 && in19 < in18 && in18 < in21 && in17 < in16 && in16 < in19 && in15 < in14 && in14 < in17 && in13 < in12 && in12 < in15 && in11 < in10 && in10 < in13 && in9 < in8 && in8 < in11 && in7 < in6 && in6 < in9 && in5 < in4 && in4 < in7 && in3 < in2 && in2 < in5 && in1 < in0 && in0 < in3
