inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,25,0,117,0,0,0,0,0,0,0,CONSTRAINT N/A
2,1,47,0,117,0,0,0,0,0,0,0,in0 == in1
3,2,69,0,117,0,0,0,0,0,0,0,in1 < in2 && in0 == in1
4,3,91,0,117,0,0,0,0,0,0,0,in2 < in3 && in1 == in2 && in0 == in1
5,4,113,0,117,0,0,0,0,0,0,0,in3 < in4 && in2 < in3 && in1 == in2 && in0 == in1
6,5,135,0,117,0,0,0,0,0,0,0,in4 < in5 && in3 < in4 && in2 == in3 && in1 == in2 && in0 == in1
7,6,157,0,117,0,0,0,0,0,0,0,in5 < in6 && in4 < in5 && in3 < in4 && in2 == in3 && in1 == in2 && in0 == in1
8,7,179,0,117,0,0,0,0,0,0,0,in6 < in7 && in5 < in6 && in4 < in5 && in3 == in4 && in2 == in3 && in1 == in2 && in0 == in1
9,8,201,0,117,0,0,0,0,0,0,0,in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 == in4 && in2 == in3 && in1 == in2 && in0 == in1
10,9,223,0,117,0,0,0,0,0,0,0,in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 == in5 && in3 == in4 && in2 == in3 && in1 == in2 && in0 == in1
11,10,245,0,117,0,0,0,0,0,0,0,in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 == in5 && in3 == in4 && in2 == in3 && in1 == in2 && in0 == in1
12,11,267,0,117,0,0,0,0,0,0,0,in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 == in6 && in4 == in5 && in3 == in4 && in2 == in3 && in1 == in2 && in0 == in1
13,12,289,0,117,0,0,0,0,0,0,0,in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 == in6 && in4 == in5 && in3 == in4 && in2 == in3 && in1 == in2 && in0 == in1
14,13,311,0,117,0,0,0,0,0,0,0,in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 == in7 && in5 == in6 && in4 == in5 && in3 == in4 && in2 == in3 && in1 == in2 && in0 == in1
15,14,333,0,117,0,0,0,0,0,0,0,in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 == in7 && in5 == in6 && in4 == in5 && in3 == in4 && in2 == in3 && in1 == in2 && in0 == in1
16,15,355,0,117,0,0,0,0,0,0,0,in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 == in8 && in6 == in7 && in5 == in6 && in4 == in5 && in3 == in4 && in2 == in3 && in1 == in2 && in0 == in1
17,16,377,0,117,0,0,0,0,0,0,0,in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 == in8 && in6 == in7 && in5 == in6 && in4 == in5 && in3 == in4 && in2 == in3 && in1 == in2 && in0 == in1
