inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,33,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
2,1,81,0,117,1,1,0,1,0,0,0,in0 < in1
3,2,129,0,117,1,2,0,2,0,0,0,in1 > in2 && in0 < in1
4,3,177,0,117,1,3,0,3,0,0,0,in2 > in3 && in1 < in2 && in0 < in1
5,4,225,0,117,1,4,0,4,0,0,0,in3 > in4 && in2 > in3 && in1 < in2 && in0 < in1
6,5,273,0,117,1,5,0,5,0,0,0,in4 > in5 && in3 > in4 && in2 < in3 && in1 < in2 && in0 < in1
7,6,321,0,117,1,6,0,6,0,0,0,in5 > in6 && in4 > in5 && in3 > in4 && in2 < in3 && in1 < in2 && in0 < in1
8,7,369,0,117,1,7,0,7,0,0,0,in6 > in7 && in5 > in6 && in4 > in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
9,8,417,0,117,1,8,0,8,0,0,0,in7 > in8 && in6 > in7 && in5 > in6 && in4 > in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
10,9,465,0,117,1,9,0,9,0,0,0,in8 > in9 && in7 > in8 && in6 > in7 && in5 > in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
11,10,513,0,117,1,10,0,10,0,0,0,in9 > in10 && in8 > in9 && in7 > in8 && in6 > in7 && in5 > in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
12,11,561,0,117,1,11,0,11,0,0,0,in10 > in11 && in9 > in10 && in8 > in9 && in7 > in8 && in6 > in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
13,12,609,0,117,1,12,0,12,0,0,0,in11 > in12 && in10 > in11 && in9 > in10 && in8 > in9 && in7 > in8 && in6 > in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
14,13,657,0,117,1,13,0,13,0,0,0,in12 > in13 && in11 > in12 && in10 > in11 && in9 > in10 && in8 > in9 && in7 > in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
15,14,705,0,117,1,14,0,14,0,0,0,in13 > in14 && in12 > in13 && in11 > in12 && in10 > in11 && in9 > in10 && in8 > in9 && in7 > in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
16,15,753,0,117,1,15,0,15,0,0,0,in14 > in15 && in13 > in14 && in12 > in13 && in11 > in12 && in10 > in11 && in9 > in10 && in8 > in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
17,16,801,0,117,1,16,0,16,0,0,0,in15 > in16 && in14 > in15 && in13 > in14 && in12 > in13 && in11 > in12 && in10 > in11 && in9 > in10 && in8 > in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
18,17,849,0,117,1,17,0,17,0,0,0,in16 > in17 && in15 > in16 && in14 > in15 && in13 > in14 && in12 > in13 && in11 > in12 && in10 > in11 && in9 > in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
19,18,897,0,117,1,18,0,18,0,0,0,in17 > in18 && in16 > in17 && in15 > in16 && in14 > in15 && in13 > in14 && in12 > in13 && in11 > in12 && in10 > in11 && in9 > in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
20,19,945,0,117,1,19,0,19,0,0,0,in18 > in19 && in17 > in18 && in16 > in17 && in15 > in16 && in14 > in15 && in13 > in14 && in12 > in13 && in11 > in12 && in10 > in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
