inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,11,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
2,1,83,0,117,1,1,0,1,0,0,0,in1 < in0
3,2,114,0,117,4,0,0,0,0,6,0,in0 < in2 && in1 < in0
4,3,145,0,117,1,3,0,3,0,0,0,in1 < in3 && in0 < in2 && in3 < in0
5,4,176,0,117,8,6,0,6,0,14,0,in2 < in4 && in1 < in3 && in0 < in2 && in3 < in0
6,5,207,0,117,1,5,0,5,0,0,0,in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in5 < in0
7,6,238,0,117,12,20,0,20,0,22,0,in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in5 < in0
8,7,269,0,117,1,7,0,7,0,0,0,in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in7 < in0
9,8,300,0,117,16,42,0,42,0,30,0,in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in7 < in0
10,9,331,0,117,1,9,0,9,0,0,0,in7 < in9 && in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in9 < in0
11,10,362,0,117,20,72,0,72,0,38,0,in8 < in10 && in7 < in9 && in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in9 < in0
12,11,393,0,117,1,11,0,11,0,0,0,in9 < in11 && in8 < in10 && in7 < in9 && in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in11 < in0
13,12,424,0,117,24,110,0,110,0,46,0,in10 < in12 && in9 < in11 && in8 < in10 && in7 < in9 && in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in11 < in0
14,13,455,0,117,1,13,0,13,0,0,0,in11 < in13 && in10 < in12 && in9 < in11 && in8 < in10 && in7 < in9 && in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in13 < in0
15,14,486,0,117,28,156,0,156,0,54,0,in12 < in14 && in11 < in13 && in10 < in12 && in9 < in11 && in8 < in10 && in7 < in9 && in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in13 < in0
16,15,517,0,117,1,15,0,15,0,0,0,in13 < in15 && in12 < in14 && in11 < in13 && in10 < in12 && in9 < in11 && in8 < in10 && in7 < in9 && in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in15 < in0
17,16,548,0,117,32,210,0,210,0,62,0,in14 < in16 && in13 < in15 && in12 < in14 && in11 < in13 && in10 < in12 && in9 < in11 && in8 < in10 && in7 < in9 && in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in15 < in0
18,17,579,0,117,1,17,0,17,0,0,0,in15 < in17 && in14 < in16 && in13 < in15 && in12 < in14 && in11 < in13 && in10 < in12 && in9 < in11 && in8 < in10 && in7 < in9 && in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in17 < in0
19,18,610,0,117,36,272,0,272,0,70,0,in16 < in18 && in15 < in17 && in14 < in16 && in13 < in15 && in12 < in14 && in11 < in13 && in10 < in12 && in9 < in11 && in8 < in10 && in7 < in9 && in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in17 < in0
20,19,641,0,117,1,19,0,19,0,0,0,in17 < in19 && in16 < in18 && in15 < in17 && in14 < in16 && in13 < in15 && in12 < in14 && in11 < in13 && in10 < in12 && in9 < in11 && in8 < in10 && in7 < in9 && in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in19 < in0
21,20,672,0,117,40,342,0,342,0,78,0,in18 < in20 && in17 < in19 && in16 < in18 && in15 < in17 && in14 < in16 && in13 < in15 && in12 < in14 && in11 < in13 && in10 < in12 && in9 < in11 && in8 < in10 && in7 < in9 && in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in19 < in0
22,21,703,0,117,1,21,0,21,0,0,0,in19 < in21 && in18 < in20 && in17 < in19 && in16 < in18 && in15 < in17 && in14 < in16 && in13 < in15 && in12 < in14 && in11 < in13 && in10 < in12 && in9 < in11 && in8 < in10 && in7 < in9 && in6 < in8 && in5 < in7 && in4 < in6 && in3 < in5 && in2 < in4 && in1 < in3 && in0 < in2 && in21 < in0
