inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,48,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
2,1,95,0,117,1,1,0,1,0,0,0,in0 < in1
3,1,104,0,117,1,1,0,1,0,0,0,in0 < in2
4,2,151,0,117,1,2,0,2,0,0,0,in1 < in2 && in0 < in3
5,2,160,0,117,1,2,0,2,0,0,0,in1 < in3 && in0 < in4
6,3,207,0,117,1,3,0,3,0,0,0,in2 < in3 && in1 < in4 && in0 < in5
7,3,216,0,117,1,3,0,3,0,0,0,in2 < in4 && in1 < in5 && in0 < in6
8,4,263,0,117,1,4,0,4,0,0,0,in3 < in4 && in2 < in5 && in1 < in6 && in0 < in7
9,4,272,0,117,1,4,0,4,0,0,0,in3 < in5 && in2 < in6 && in1 < in7 && in0 < in8
10,5,319,0,117,1,5,0,5,0,0,0,in4 < in5 && in3 < in6 && in2 < in7 && in1 < in8 && in0 < in9
11,5,328,0,117,1,5,0,5,0,0,0,in4 < in6 && in3 < in7 && in2 < in8 && in1 < in9 && in0 < in10
12,6,375,0,117,1,6,0,6,0,0,0,in5 < in6 && in4 < in7 && in3 < in8 && in2 < in9 && in1 < in10 && in0 < in11
13,6,384,0,117,1,6,0,6,0,0,0,in5 < in7 && in4 < in8 && in3 < in9 && in2 < in10 && in1 < in11 && in0 < in12
14,7,431,0,117,1,7,0,7,0,0,0,in6 < in7 && in5 < in8 && in4 < in9 && in3 < in10 && in2 < in11 && in1 < in12 && in0 < in13
15,7,440,0,117,1,7,0,7,0,0,0,in6 < in8 && in5 < in9 && in4 < in10 && in3 < in11 && in2 < in12 && in1 < in13 && in0 < in14
16,8,487,0,117,1,8,0,8,0,0,0,in7 < in8 && in6 < in9 && in5 < in10 && in4 < in11 && in3 < in12 && in2 < in13 && in1 < in14 && in0 < in15
17,8,496,0,117,1,8,0,8,0,0,0,in7 < in9 && in6 < in10 && in5 < in11 && in4 < in12 && in3 < in13 && in2 < in14 && in1 < in15 && in0 < in16
18,9,543,0,117,1,9,0,9,0,0,0,in8 < in9 && in7 < in10 && in6 < in11 && in5 < in12 && in4 < in13 && in3 < in14 && in2 < in15 && in1 < in16 && in0 < in17
19,9,552,0,117,1,9,0,9,0,0,0,in8 < in10 && in7 < in11 && in6 < in12 && in5 < in13 && in4 < in14 && in3 < in15 && in2 < in16 && in1 < in17 && in0 < in18
20,10,599,0,117,1,10,0,10,0,0,0,in9 < in10 && in8 < in11 && in7 < in12 && in6 < in13 && in5 < in14 && in4 < in15 && in3 < in16 && in2 < in17 && in1 < in18 && in0 < in19
21,10,608,0,117,1,10,0,10,0,0,0,in9 < in11 && in8 < in12 && in7 < in13 && in6 < in14 && in5 < in15 && in4 < in16 && in3 < in17 && in2 < in18 && in1 < in19 && in0 < in20
22,11,655,0,117,1,11,0,11,0,0,0,in10 < in11 && in9 < in12 && in8 < in13 && in7 < in14 && in6 < in15 && in5 < in16 && in4 < in17 && in3 < in18 && in2 < in19 && in1 < in20 && in0 < in21
23,11,664,0,117,1,11,0,11,0,0,0,in10 < in12 && in9 < in13 && in8 < in14 && in7 < in15 && in6 < in16 && in5 < in17 && in4 < in18 && in3 < in19 && in2 < in20 && in1 < in21 && in0 < in22
24,12,711,0,117,1,12,0,12,0,0,0,in11 < in12 && in10 < in13 && in9 < in14 && in8 < in15 && in7 < in16 && in6 < in17 && in5 < in18 && in4 < in19 && in3 < in20 && in2 < in21 && in1 < in22 && in0 < in23
25,12,720,0,117,1,12,0,12,0,0,0,in11 < in13 && in10 < in14 && in9 < in15 && in8 < in16 && in7 < in17 && in6 < in18 && in5 < in19 && in4 < in20 && in3 < in21 && in2 < in22 && in1 < in23 && in0 < in24
26,13,767,0,117,1,13,0,13,0,0,0,in12 < in13 && in11 < in14 && in10 < in15 && in9 < in16 && in8 < in17 && in7 < in18 && in6 < in19 && in5 < in20 && in4 < in21 && in3 < in22 && in2 < in23 && in1 < in24 && in0 < in25
27,13,776,0,117,1,13,0,13,0,0,0,in12 < in14 && in11 < in15 && in10 < in16 && in9 < in17 && in8 < in18 && in7 < in19 && in6 < in20 && in5 < in21 && in4 < in22 && in3 < in23 && in2 < in24 && in1 < in25 && in0 < in26
28,14,823,0,117,1,14,0,14,0,0,0,in13 < in14 && in12 < in15 && in11 < in16 && in10 < in17 && in9 < in18 && in8 < in19 && in7 < in20 && in6 < in21 && in5 < in22 && in4 < in23 && in3 < in24 && in2 < in25 && in1 < in26 && in0 < in27
29,14,832,0,117,1,14,0,14,0,0,0,in13 < in15 && in12 < in16 && in11 < in17 && in10 < in18 && in9 < in19 && in8 < in20 && in7 < in21 && in6 < in22 && in5 < in23 && in4 < in24 && in3 < in25 && in2 < in26 && in1 < in27 && in0 < in28
30,15,879,0,117,1,15,0,15,0,0,0,in14 < in15 && in13 < in16 && in12 < in17 && in11 < in18 && in10 < in19 && in9 < in20 && in8 < in21 && in7 < in22 && in6 < in23 && in5 < in24 && in4 < in25 && in3 < in26 && in2 < in27 && in1 < in28 && in0 < in29
