inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,31,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
2,1,25,0,117,1,1,0,1,0,0,0,in1 >= CONST_100
3,2,37,0,117,1,2,0,2,0,0,0,in2 >= CONST_100 && in1 >= CONST_100
4,3,49,0,117,1,3,0,3,0,0,0,in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
5,4,61,0,117,1,4,0,4,0,0,0,in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
6,5,73,0,117,1,5,0,5,0,0,0,in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
7,6,85,0,117,1,6,0,6,0,0,0,in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
8,7,97,0,117,1,7,0,7,0,0,0,in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
9,8,109,0,117,1,8,0,8,0,0,0,in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
10,9,121,0,117,1,9,0,9,0,0,0,in9 >= CONST_100 && in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
11,10,133,0,117,1,10,0,10,0,0,0,in10 >= CONST_100 && in9 >= CONST_100 && in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
12,11,145,0,117,1,11,0,11,0,0,0,in11 >= CONST_100 && in10 >= CONST_100 && in9 >= CONST_100 && in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
13,12,157,0,117,1,12,0,12,0,0,0,in12 >= CONST_100 && in11 >= CONST_100 && in10 >= CONST_100 && in9 >= CONST_100 && in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
14,13,169,0,117,1,13,0,13,0,0,0,in13 >= CONST_100 && in12 >= CONST_100 && in11 >= CONST_100 && in10 >= CONST_100 && in9 >= CONST_100 && in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
15,14,181,0,117,1,14,0,14,0,0,0,in14 >= CONST_100 && in13 >= CONST_100 && in12 >= CONST_100 && in11 >= CONST_100 && in10 >= CONST_100 && in9 >= CONST_100 && in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
16,15,193,0,117,1,15,0,15,0,0,0,in15 >= CONST_100 && in14 >= CONST_100 && in13 >= CONST_100 && in12 >= CONST_100 && in11 >= CONST_100 && in10 >= CONST_100 && in9 >= CONST_100 && in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
17,16,205,0,117,1,16,0,16,0,0,0,in16 >= CONST_100 && in15 >= CONST_100 && in14 >= CONST_100 && in13 >= CONST_100 && in12 >= CONST_100 && in11 >= CONST_100 && in10 >= CONST_100 && in9 >= CONST_100 && in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
18,17,217,0,117,1,17,0,17,0,0,0,in17 >= CONST_100 && in16 >= CONST_100 && in15 >= CONST_100 && in14 >= CONST_100 && in13 >= CONST_100 && in12 >= CONST_100 && in11 >= CONST_100 && in10 >= CONST_100 && in9 >= CONST_100 && in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
19,18,229,0,117,1,18,0,18,0,0,0,in18 >= CONST_100 && in17 >= CONST_100 && in16 >= CONST_100 && in15 >= CONST_100 && in14 >= CONST_100 && in13 >= CONST_100 && in12 >= CONST_100 && in11 >= CONST_100 && in10 >= CONST_100 && in9 >= CONST_100 && in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
20,19,241,0,117,1,19,0,19,0,0,0,in19 >= CONST_100 && in18 >= CONST_100 && in17 >= CONST_100 && in16 >= CONST_100 && in15 >= CONST_100 && in14 >= CONST_100 && in13 >= CONST_100 && in12 >= CONST_100 && in11 >= CONST_100 && in10 >= CONST_100 && in9 >= CONST_100 && in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100
