inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,2,49,0,117,1,2,0,2,0,0,0,in0 <= CONST_122 && in0 >= CONST_97
2,4,76,0,117,1,4,0,4,0,0,0,in1 <= CONST_122 && in1 >= CONST_97 && in0 <= CONST_122 && in0 >= CONST_97
3,6,103,0,117,1,6,0,6,0,0,0,in2 <= CONST_122 && in2 >= CONST_97 && in1 <= CONST_122 && in1 >= CONST_97 && in0 <= CONST_122 && in0 >= CONST_97
4,8,130,0,117,1,8,0,8,0,0,0,in3 <= CONST_122 && in3 >= CONST_97 && in2 <= CONST_122 && in2 >= CONST_97 && in1 <= CONST_122 && in1 >= CONST_97 && in0 <= CONST_122 && in0 >= CONST_97
5,10,157,0,117,1,10,0,10,0,0,0,in4 <= CONST_122 && in4 >= CONST_97 && in3 <= CONST_122 && in3 >= CONST_97 && in2 <= CONST_122 && in2 >= CONST_97 && in1 <= CONST_122 && in1 >= CONST_97 && in0 <= CONST_122 && in0 >= CONST_97
6,12,184,0,117,1,12,0,12,0,0,0,in5 <= CONST_122 && in5 >= CONST_97 && in4 <= CONST_122 && in4 >= CONST_97 && in3 <= CONST_122 && in3 >= CONST_97 && in2 <= CONST_122 && in2 >= CONST_97 && in1 <= CONST_122 && in1 >= CONST_97 && in0 <= CONST_122 && in0 >= CONST_97
7,14,211,0,117,1,14,0,14,0,0,0,in6 <= CONST_122 && in6 >= CONST_97 && in5 <= CONST_122 && in5 >= CONST_97 && in4 <= CONST_122 && in4 >= CONST_97 && in3 <= CONST_122 && in3 >= CONST_97 && in2 <= CONST_122 && in2 >= CONST_97 && in1 <= CONST_122 && in1 >= CONST_97 && in0 <= CONST_122 && in0 >= CONST_97
8,16,238,0,117,1,16,0,16,0,0,0,in7 <= CONST_122 && in7 >= CONST_97 && in6 <= CONST_122 && in6 >= CONST_97 && in5 <= CONST_122 && in5 >= CONST_97 && in4 <= CONST_122 && in4 >= CONST_97 && in3 <= CONST_122 && in3 >= CONST_97 && in2 <= CONST_122 && in2 >= CONST_97 && in1 <= CONST_122 && in1 >= CONST_97 && in0 <= CONST_122 && in0 >= CONST_97
9,18,265,0,117,1,18,0,18,0,0,0,in8 <= CONST_122 && in8 >= CONST_97 && in7 <= CONST_122 && in7 >= CONST_97 && in6 <= CONST_122 && in6 >= CONST_97 && in5 <= CONST_122 && in5 >= CONST_97 && in4 <= CONST_122 && in4 >= CONST_97 && in3 <= CONST_122 && in3 >= CONST_97 && in2 <= CONST_122 && in2 >= CONST_97 && in1 <= CONST_122 && in1 >= CONST_97 && in0 <= CONST_122 && in0 >= CONST_97
10,20,292,0,117,1,20,0,20,0,0,0,in9 <= CONST_122 && in9 >= CONST_97 && in8 <= CONST_122 && in8 >= CONST_97 && in7 <= CONST_122 && in7 >= CONST_97 && in6 <= CONST_122 && in6 >= CONST_97 && in5 <= CONST_122 && in5 >= CONST_97 && in4 <= CONST_122 && in4 >= CONST_97 && in3 <= CONST_122 && in3 >= CONST_97 && in2 <= CONST_122 && in2 >= CONST_97 && in1 <= CONST_122 && in1 >= CONST_97 && in0 <= CONST_122 && in0 >= CONST_97
11,22,319,0,117,1,22,0,22,0,0,0,in10 <= CONST_122 && in10 >= CONST_97 && in9 <= CONST_122 && in9 >= CONST_97 && in8 <= CONST_122 && in8 >= CONST_97 && in7 <= CONST_122 && in7 >= CONST_97 && in6 <= CONST_122 && in6 >= CONST_97 && in5 <= CONST_122 && in5 >= CONST_97 && in4 <= CONST_122 && in4 >= CONST_97 && in3 <= CONST_122 && in3 >= CONST_97 && in2 <= CONST_122 && in2 >= CONST_97 && in1 <= CONST_122 && in1 >= CONST_97 && in0 <= CONST_122 && in0 >= CONST_97
12,24,346,0,117,1,24,0,24,0,0,0,in11 <= CONST_122 && in11 >= CONST_97 && in10 <= CONST_122 && in10 >= CONST_97 && in9 <= CONST_122 && in9 >= CONST_97 && in8 <= CONST_122 && in8 >= CONST_97 && in7 <= CONST_122 && in7 >= CONST_97 && in6 <= CONST_122 && in6 >= CONST_97 && in5 <= CONST_122 && in5 >= CONST_97 && in4 <= CONST_122 && in4 >= CONST_97 && in3 <= CONST_122 && in3 >= CONST_97 && in2 <= CONST_122 && in2 >= CONST_97 && in1 <= CONST_122 && in1 >= CONST_97 && in0 <= CONST_122 && in0 >= CONST_97
13,26,373,0,117,1,26,0,26,0,0,0,in12 <= CONST_122 && in12 >= CONST_97 && in11 <= CONST_122 && in11 >= CONST_97 && in10 <= CONST_122 && in10 >= CONST_97 && in9 <= CONST_122 && in9 >= CONST_97 && in8 <= CONST_122 && in8 >= CONST_97 && in7 <= CONST_122 && in7 >= CONST_97 && in6 <= CONST_122 && in6 >= CONST_97 && in5 <= CONST_122 && in5 >= CONST_97 && in4 <= CONST_122 && in4 >= CONST_97 && in3 <= CONST_122 && in3 >= CONST_97 && in2 <= CONST_122 && in2 >= CONST_97 && in1 <= CONST_122 && in1 >= CONST_97 && in0 <= CONST_122 && in0 >= CONST_97
