inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,29,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
2,0,38,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
3,1,54,0,117,1,1,0,1,0,0,0,in2 == CONST_0
4,1,63,0,117,1,1,0,1,0,0,0,in2 == CONST_0
5,1,72,0,117,1,1,0,1,0,0,0,in2 == CONST_0
6,1,81,0,117,1,1,0,1,0,0,0,in2 == CONST_0
7,1,90,0,117,1,1,0,1,0,0,0,in2 == CONST_0
8,1,99,0,117,1,1,0,1,0,0,0,in2 == CONST_0
9,1,108,0,117,1,1,0,1,0,0,0,in2 == CONST_0
10,1,117,0,117,1,1,0,1,0,0,0,in2 == CONST_0
11,1,126,0,117,1,1,0,1,0,0,0,in2 == CONST_0
12,1,135,0,117,1,1,0,1,0,0,0,in2 == CONST_0
13,1,144,0,117,1,1,0,1,0,0,0,in2 == CONST_0
14,1,153,0,117,1,1,0,1,0,0,0,in2 == CONST_0
15,1,162,0,117,1,1,0,1,0,0,0,in2 == CONST_0
16,1,171,0,117,1,1,0,1,0,0,0,in2 == CONST_0
17,1,180,0,117,1,1,0,1,0,0,0,in2 == CONST_0
18,1,189,0,117,1,1,0,1,0,0,0,in2 == CONST_0
19,1,198,0,117,1,1,0,1,0,0,0,in2 == CONST_0
20,1,207,0,117,1,1,0,1,0,0,0,in2 == CONST_0
21,1,216,0,117,1,1,0,1,0,0,0,in2 == CONST_0
22,1,225,0,117,1,1,0,1,0,0,0,in2 == CONST_0
23,1,234,0,117,1,1,0,1,0,0,0,in2 == CONST_0
24,1,243,0,117,1,1,0,1,0,0,0,in2 == CONST_0
25,1,252,0,117,1,1,0,1,0,0,0,in2 == CONST_0
26,1,261,0,117,1,1,0,1,0,0,0,in2 == CONST_0
27,1,270,0,117,1,1,0,1,0,0,0,in2 == CONST_0
28,1,279,0,117,1,1,0,1,0,0,0,in2 == CONST_0
29,1,288,0,117,1,1,0,1,0,0,0,in2 == CONST_0
30,1,297,0,117,1,1,0,1,0,0,0,in2 == CONST_0
