inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,1,44,0,117,1,1,0,1,0,0,0,in0 == CONST_120
2,2,66,0,117,1,2,0,2,0,0,0,in1 == CONST_120 && in0 == CONST_120
3,3,88,0,117,1,3,0,3,0,0,0,in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
4,4,110,0,117,1,4,0,4,0,0,0,in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
5,5,132,0,117,1,5,0,5,0,0,0,in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
6,6,154,0,117,1,6,0,6,0,0,0,in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
7,7,176,0,117,1,7,0,7,0,0,0,in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
8,8,198,0,117,1,8,0,8,0,0,0,in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
9,9,220,0,117,1,9,0,9,0,0,0,in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
10,10,242,0,117,1,10,0,10,0,0,0,in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
11,11,264,0,117,1,11,0,11,0,0,0,in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
12,12,286,0,117,1,12,0,12,0,0,0,in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
13,13,308,0,117,1,13,0,13,0,0,0,in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
14,14,330,0,117,1,14,0,14,0,0,0,in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
15,15,352,0,117,1,15,0,15,0,0,0,in14 == CONST_120 && in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
16,16,374,0,117,1,16,0,16,0,0,0,in15 == CONST_120 && in14 == CONST_120 && in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
17,17,396,0,117,1,17,0,17,0,0,0,in16 == CONST_120 && in15 == CONST_120 && in14 == CONST_120 && in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
18,18,418,0,117,1,18,0,18,0,0,0,in17 == CONST_120 && in16 == CONST_120 && in15 == CONST_120 && in14 == CONST_120 && in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
19,19,440,0,117,1,19,0,19,0,0,0,in18 == CONST_120 && in17 == CONST_120 && in16 == CONST_120 && in15 == CONST_120 && in14 == CONST_120 && in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
20,20,462,0,117,1,20,0,20,0,0,0,in19 == CONST_120 && in18 == CONST_120 && in17 == CONST_120 && in16 == CONST_120 && in15 == CONST_120 && in14 == CONST_120 && in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
21,21,484,0,117,1,21,0,21,0,0,0,in20 == CONST_120 && in19 == CONST_120 && in18 == CONST_120 && in17 == CONST_120 && in16 == CONST_120 && in15 == CONST_120 && in14 == CONST_120 && in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
22,22,506,0,117,1,22,0,22,0,0,0,in21 == CONST_120 && in20 == CONST_120 && in19 == CONST_120 && in18 == CONST_120 && in17 == CONST_120 && in16 == CONST_120 && in15 == CONST_120 && in14 == CONST_120 && in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
23,23,528,0,117,1,23,0,23,0,0,0,in22 == CONST_120 && in21 == CONST_120 && in20 == CONST_120 && in19 == CONST_120 && in18 == CONST_120 && in17 == CONST_120 && in16 == CONST_120 && in15 == CONST_120 && in14 == CONST_120 && in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
24,24,550,0,117,1,24,0,24,0,0,0,in23 == CONST_120 && in22 == CONST_120 && in21 == CONST_120 && in20 == CONST_120 && in19 == CONST_120 && in18 == CONST_120 && in17 == CONST_120 && in16 == CONST_120 && in15 == CONST_120 && in14 == CONST_120 && in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
25,25,572,0,117,1,25,0,25,0,0,0,in24 == CONST_120 && in23 == CONST_120 && in22 == CONST_120 && in21 == CONST_120 && in20 == CONST_120 && in19 == CONST_120 && in18 == CONST_120 && in17 == CONST_120 && in16 == CONST_120 && in15 == CONST_120 && in14 == CONST_120 && in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
26,26,594,0,117,1,26,0,26,0,0,0,in25 == CONST_120 && in24 == CONST_120 && in23 == CONST_120 && in22 == CONST_120 && in21 == CONST_120 && in20 == CONST_120 && in19 == CONST_120 && in18 == CONST_120 && in17 == CONST_120 && in16 == CONST_120 && in15 == CONST_120 && in14 == CONST_120 && in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
27,27,616,0,117,1,27,0,27,0,0,0,in26 == CONST_120 && in25 == CONST_120 && in24 == CONST_120 && in23 == CONST_120 && in22 == CONST_120 && in21 == CONST_120 && in20 == CONST_120 && in19 == CONST_120 && in18 == CONST_120 && in17 == CONST_120 && in16 == CONST_120 && in15 == CONST_120 && in14 == CONST_120 && in13 == CONST_120 && in12 == CONST_120 && in11 == CONST_120 && in10 == CONST_120 && in9 == CONST_120 && in8 == CONST_120 && in7 == CONST_120 && in6 == CONST_120 && in5 == CONST_120 && in4 == CONST_120 && in3 == CONST_120 && in2 == CONST_120 && in1 == CONST_120 && in0 == CONST_120
