inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,32,0,117,0,0,0,0,0,0,0,CONSTRAINT N/A
2,1,64,0,117,0,0,0,0,0,0,0,in1 < in0
3,2,94,0,117,0,0,0,0,0,0,0,in2 < in0 && in0 < in1
4,3,124,0,117,0,0,0,0,0,0,0,in3 < in0 && in1 < in2 && in0 < in1
5,4,154,0,117,0,0,0,0,0,0,0,in4 < in0 && in2 < in3 && in1 < in2 && in0 < in1
6,5,184,0,117,0,0,0,0,0,0,0,in5 < in0 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
7,6,214,0,117,0,0,0,0,0,0,0,in6 < in0 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
8,7,244,0,117,0,0,0,0,0,0,0,in7 < in0 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
9,8,274,0,117,0,0,0,0,0,0,0,in8 < in0 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
10,9,304,0,117,0,0,0,0,0,0,0,in9 < in0 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
11,10,334,0,117,0,0,0,0,0,0,0,in10 < in0 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
12,11,364,0,117,0,0,0,0,0,0,0,in11 < in0 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
13,12,394,0,117,0,0,0,0,0,0,0,in12 < in0 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
14,13,424,0,117,0,0,0,0,0,0,0,in13 < in0 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
15,14,454,0,117,0,0,0,0,0,0,0,in14 < in0 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
16,15,484,0,117,0,0,0,0,0,0,0,in15 < in0 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
17,16,514,0,117,0,0,0,0,0,0,0,in16 < in0 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
18,17,544,0,117,0,0,0,0,0,0,0,in17 < in0 && in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
19,18,574,0,117,0,0,0,0,0,0,0,in18 < in0 && in16 < in17 && in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
20,19,604,0,117,0,0,0,0,0,0,0,in19 < in0 && in17 < in18 && in16 < in17 && in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
21,20,634,0,117,0,0,0,0,0,0,0,in20 < in0 && in18 < in19 && in17 < in18 && in16 < in17 && in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
22,21,664,0,117,0,0,0,0,0,0,0,in21 < in0 && in19 < in20 && in18 < in19 && in17 < in18 && in16 < in17 && in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
23,22,694,0,117,0,0,0,0,0,0,0,in22 < in0 && in20 < in21 && in19 < in20 && in18 < in19 && in17 < in18 && in16 < in17 && in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
24,23,724,0,117,0,0,0,0,0,0,0,in23 < in0 && in21 < in22 && in20 < in21 && in19 < in20 && in18 < in19 && in17 < in18 && in16 < in17 && in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
25,24,754,0,117,0,0,0,0,0,0,0,in24 < in0 && in22 < in23 && in21 < in22 && in20 < in21 && in19 < in20 && in18 < in19 && in17 < in18 && in16 < in17 && in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
26,25,784,0,117,0,0,0,0,0,0,0,in25 < in0 && in23 < in24 && in22 < in23 && in21 < in22 && in20 < in21 && in19 < in20 && in18 < in19 && in17 < in18 && in16 < in17 && in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
27,26,814,0,117,0,0,0,0,0,0,0,in26 < in0 && in24 < in25 && in23 < in24 && in22 < in23 && in21 < in22 && in20 < in21 && in19 < in20 && in18 < in19 && in17 < in18 && in16 < in17 && in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
28,27,844,0,117,0,0,0,0,0,0,0,in27 < in0 && in25 < in26 && in24 < in25 && in23 < in24 && in22 < in23 && in21 < in22 && in20 < in21 && in19 < in20 && in18 < in19 && in17 < in18 && in16 < in17 && in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
29,28,874,0,117,0,0,0,0,0,0,0,in28 < in0 && in26 < in27 && in25 < in26 && in24 < in25 && in23 < in24 && in22 < in23 && in21 < in22 && in20 < in21 && in19 < in20 && in18 < in19 && in17 < in18 && in16 < in17 && in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
30,29,904,0,117,0,0,0,0,0,0,0,in29 < in0 && in27 < in28 && in26 < in27 && in25 < in26 && in24 < in25 && in23 < in24 && in22 < in23 && in21 < in22 && in20 < in21 && in19 < in20 && in18 < in19 && in17 < in18 && in16 < in17 && in15 < in16 && in14 < in15 && in13 < in14 && in12 < in13 && in11 < in12 && in10 < in11 && in9 < in10 && in8 < in9 && in7 < in8 && in6 < in7 && in5 < in6 && in4 < in5 && in3 < in4 && in2 < in3 && in1 < in2 && in0 < in1
