inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,41,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
2,1,79,0,117,1,1,0,1,0,0,0,in1x0 == in0x1
3,3,136,0,117,1,3,0,3,0,0,0,in2x1 == in1x2 && in2x0 == in0x2 && in1x0 == in0x1
4,6,212,0,117,1,6,0,6,0,0,0,in3x2 == in2x3 && in3x1 == in1x3 && in3x0 == in0x3 && in2x1 == in1x2 && in2x0 == in0x2 && in1x0 == in0x1
5,10,307,0,117,1,10,0,10,0,0,0,in4x3 == in3x4 && in4x2 == in2x4 && in4x1 == in1x4 && in4x0 == in0x4 && in3x2 == in2x3 && in3x1 == in1x3 && in3x0 == in0x3 && in2x1 == in1x2 && in2x0 == in0x2 && in1x0 == in0x1
6,15,421,0,117,1,15,0,15,0,0,0,in5x4 == in4x5 && in5x3 == in3x5 && in5x2 == in2x5 && in5x1 == in1x5 && in5x0 == in0x5 && in4x3 == in3x4 && in4x2 == in2x4 && in4x1 == in1x4 && in4x0 == in0x4 && in3x2 == in2x3 && in3x1 == in1x3 && in3x0 == in0x3 && in2x1 == in1x2 && in2x0 == in0x2 && in1x0 == in0x1
7,21,554,0,117,1,21,0,21,0,0,0,in6x5 == in5x6 && in6x4 == in4x6 && in6x3 == in3x6 && in6x2 == in2x6 && in6x1 == in1x6 && in6x0 == in0x6 && in5x4 == in4x5 && in5x3 == in3x5 && in5x2 == in2x5 && in5x1 == in1x5 && in5x0 == in0x5 && in4x3 == in3x4 && in4x2 == in2x4 && in4x1 == in1x4 && in4x0 == in0x4 && in3x2 == in2x3 && in3x1 == in1x3 && in3x0 == in0x3 && in2x1 == in1x2 && in2x0 == in0x2 && in1x0 == in0x1
8,28,706,0,117,1,28,0,28,0,0,0,in7x6 == in6x7 && in7x5 == in5x7 && in7x4 == in4x7 && in7x3 == in3x7 && in7x2 == in2x7 && in7x1 == in1x7 && in7x0 == in0x7 && in6x5 == in5x6 && in6x4 == in4x6 && in6x3 == in3x6 && in6x2 == in2x6 && in6x1 == in1x6 && in6x0 == in0x6 && in5x4 == in4x5 && in5x3 == in3x5 && in5x2 == in2x5 && in5x1 == in1x5 && in5x0 == in0x5 && in4x3 == in3x4 && in4x2 == in2x4 && in4x1 == in1x4 && in4x0 == in0x4 && in3x2 == in2x3 && in3x1 == in1x3 && in3x0 == in0x3 && in2x1 == in1x2 && in2x0 == in0x2 && in1x0 == in0x1
9,36,877,0,117,1,36,0,36,0,0,0,in8x7 == in7x8 && in8x6 == in6x8 && in8x5 == in5x8 && in8x4 == in4x8 && in8x3 == in3x8 && in8x2 == in2x8 && in8x1 == in1x8 && in8x0 == in0x8 && in7x6 == in6x7 && in7x5 == in5x7 && in7x4 == in4x7 && in7x3 == in3x7 && in7x2 == in2x7 && in7x1 == in1x7 && in7x0 == in0x7 && in6x5 == in5x6 && in6x4 == in4x6 && in6x3 == in3x6 && in6x2 == in2x6 && in6x1 == in1x6 && in6x0 == in0x6 && in5x4 == in4x5 && in5x3 == in3x5 && in5x2 == in2x5 && in5x1 == in1x5 && in5x0 == in0x5 && in4x3 == in3x4 && in4x2 == in2x4 && in4x1 == in1x4 && in4x0 == in0x4 && in3x2 == in2x3 && in3x1 == in1x3 && in3x0 == in0x3 && in2x1 == in1x2 && in2x0 == in0x2 && in1x0 == in0x1
10,45,1067,0,117,1,45,0,45,0,0,0,in9x8 == in8x9 && in9x7 == in7x9 && in9x6 == in6x9 && in9x5 == in5x9 && in9x4 == in4x9 && in9x3 == in3x9 && in9x2 == in2x9 && in9x1 == in1x9 && in9x0 == in0x9 && in8x7 == in7x8 && in8x6 == in6x8 && in8x5 == in5x8 && in8x4 == in4x8 && in8x3 == in3x8 && in8x2 == in2x8 && in8x1 == in1x8 && in8x0 == in0x8 && in7x6 == in6x7 && in7x5 == in5x7 && in7x4 == in4x7 && in7x3 == in3x7 && in7x2 == in2x7 && in7x1 == in1x7 && in7x0 == in0x7 && in6x5 == in5x6 && in6x4 == in4x6 && in6x3 == in3x6 && in6x2 == in2x6 && in6x1 == in1x6 && in6x0 == in0x6 && in5x4 == in4x5 && in5x3 == in3x5 && in5x2 == in2x5 && in5x1 == in1x5 && in5x0 == in0x5 && in4x3 == in3x4 && in4x2 == in2x4 && in4x1 == in1x4 && in4x0 == in0x4 && in3x2 == in2x3 && in3x1 == in1x3 && in3x0 == in0x3 && in2x1 == in1x2 && in2x0 == in0x2 && in1x0 == in0x1
