inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,1,48,0,117,1,1,0,1,0,0,0,in0 == CONST_1
2,2,73,0,117,1,2,0,2,0,0,0,in1 == CONST_0 && in0 == CONST_1
3,3,99,0,117,1,3,0,3,0,0,0,in2 == CONST_1 && in1 == CONST_0 && in0 == CONST_1
4,4,124,0,117,1,4,0,4,0,0,0,in3 == CONST_0 && in2 == CONST_1 && in1 == CONST_0 && in0 == CONST_1
5,5,150,0,117,1,5,0,5,0,0,0,in4 == CONST_1 && in3 == CONST_0 && in2 == CONST_1 && in1 == CONST_0 && in0 == CONST_1
6,6,175,0,117,1,6,0,6,0,0,0,in5 == CONST_0 && in4 == CONST_1 && in3 == CONST_0 && in2 == CONST_1 && in1 == CONST_0 && in0 == CONST_1
7,7,201,0,117,1,7,0,7,0,0,0,in6 == CONST_1 && in5 == CONST_0 && in4 == CONST_1 && in3 == CONST_0 && in2 == CONST_1 && in1 == CONST_0 && in0 == CONST_1
8,8,226,0,117,1,8,0,8,0,0,0,in7 == CONST_0 && in6 == CONST_1 && in5 == CONST_0 && in4 == CONST_1 && in3 == CONST_0 && in2 == CONST_1 && in1 == CONST_0 && in0 == CONST_1
9,9,252,0,117,1,9,0,9,0,0,0,in8 == CONST_1 && in7 == CONST_0 && in6 == CONST_1 && in5 == CONST_0 && in4 == CONST_1 && in3 == CONST_0 && in2 == CONST_1 && in1 == CONST_0 && in0 == CONST_1
10,10,277,0,117,1,10,0,10,0,0,0,in9 == CONST_0 && in8 == CONST_1 && in7 == CONST_0 && in6 == CONST_1 && in5 == CONST_0 && in4 == CONST_1 && in3 == CONST_0 && in2 == CONST_1 && in1 == CONST_0 && in0 == CONST_1
11,11,303,0,117,1,11,0,11,0,0,0,in10 == CONST_1 && in9 == CONST_0 && in8 == CONST_1 && in7 == CONST_0 && in6 == CONST_1 && in5 == CONST_0 && in4 == CONST_1 && in3 == CONST_0 && in2 == CONST_1 && in1 == CONST_0 && in0 == CONST_1
12,12,328,0,117,1,12,0,12,0,0,0,in11 == CONST_0 && in10 == CONST_1 && in9 == CONST_0 && in8 == CONST_1 && in7 == CONST_0 && in6 == CONST_1 && in5 == CONST_0 && in4 == CONST_1 && in3 == CONST_0 && in2 == CONST_1 && in1 == CONST_0 && in0 == CONST_1
13,13,354,0,117,1,13,0,13,0,0,0,in12 == CONST_1 && in11 == CONST_0 && in10 == CONST_1 && in9 == CONST_0 && in8 == CONST_1 && in7 == CONST_0 && in6 == CONST_1 && in5 == CONST_0 && in4 == CONST_1 && in3 == CONST_0 && in2 == CONST_1 && in1 == CONST_0 && in0 == CONST_1
14,14,379,0,117,1,14,0,14,0,0,0,in13 == CONST_0 && in12 == CONST_1 && in11 == CONST_0 && in10 == CONST_1 && in9 == CONST_0 && in8 == CONST_1 && in7 == CONST_0 && in6 == CONST_1 && in5 == CONST_0 && in4 == CONST_1 && in3 == CONST_0 && in2 == CONST_1 && in1 == CONST_0 && in0 == CONST_1
15,15,405,0,117,1,15,0,15,0,0,0,in14 == CONST_1 && in13 == CONST_0 && in12 == CONST_1 && in11 == CONST_0 && in10 == CONST_1 && in9 == CONST_0 && in8 == CONST_1 && in7 == CONST_0 && in6 == CONST_1 && in5 == CONST_0 && in4 == CONST_1 && in3 == CONST_0 && in2 == CONST_1 && in1 == CONST_0 && in0 == CONST_1
