inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,33,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
2,1,71,0,117,1,1,0,1,0,0,0,in0 != in1
3,3,124,0,117,1,3,0,3,0,0,0,in1 != in2 && in0 != in2 && in0 != in1
4,6,192,0,117,1,6,0,6,0,0,0,in2 != in3 && in1 != in3 && in1 != in2 && in0 != in3 && in0 != in2 && in0 != in1
5,10,275,0,117,1,10,0,10,0,0,0,in3 != in4 && in2 != in4 && in2 != in3 && in1 != in4 && in1 != in3 && in1 != in2 && in0 != in4 && in0 != in3 && in0 != in2 && in0 != in1
6,15,373,0,117,1,15,0,15,0,0,0,in4 != in5 && in3 != in5 && in3 != in4 && in2 != in5 && in2 != in4 && in2 != in3 && in1 != in5 && in1 != in4 && in1 != in3 && in1 != in2 && in0 != in5 && in0 != in4 && in0 != in3 && in0 != in2 && in0 != in1
7,21,486,0,117,1,21,0,21,0,0,0,in5 != in6 && in4 != in6 && in4 != in5 && in3 != in6 && in3 != in5 && in3 != in4 && in2 != in6 && in2 != in5 && in2 != in4 && in2 != in3 && in1 != in6 && in1 != in5 && in1 != in4 && in1 != in3 && in1 != in2 && in0 != in6 && in0 != in5 && in0 != in4 && in0 != in3 && in0 != in2 && in0 != in1
8,28,614,0,117,1,28,0,28,0,0,0,in6 != in7 && in5 != in7 && in5 != in6 && in4 != in7 && in4 != in6 && in4 != in5 && in3 != in7 && in3 != in6 && in3 != in5 && in3 != in4 && in2 != in7 && in2 != in6 && in2 != in5 && in2 != in4 && in2 != in3 && in1 != in7 && in1 != in6 && in1 != in5 && in1 != in4 && in1 != in3 && in1 != in2 && in0 != in7 && in0 != in6 && in0 != in5 && in0 != in4 && in0 != in3 && in0 != in2 && in0 != in1
9,36,757,0,117,1,36,0,36,0,0,0,in7 != in8 && in6 != in8 && in6 != in7 && in5 != in8 && in5 != in7 && in5 != in6 && in4 != in8 && in4 != in7 && in4 != in6 && in4 != in5 && in3 != in8 && in3 != in7 && in3 != in6 && in3 != in5 && in3 != in4 && in2 != in8 && in2 != in7 && in2 != in6 && in2 != in5 && in2 != in4 && in2 != in3 && in1 != in8 && in1 != in7 && in1 != in6 && in1 != in5 && in1 != in4 && in1 != in3 && in1 != in2 && in0 != in8 && in0 != in7 && in0 != in6 && in0 != in5 && in0 != in4 && in0 != in3 && in0 != in2 && in0 != in1
10,45,915,0,117,1,45,0,45,0,0,0,in8 != in9 && in7 != in9 && in7 != in8 && in6 != in9 && in6 != in8 && in6 != in7 && in5 != in9 && in5 != in8 && in5 != in7 && in5 != in6 && in4 != in9 && in4 != in8 && in4 != in7 && in4 != in6 && in4 != in5 && in3 != in9 && in3 != in8 && in3 != in7 && in3 != in6 && in3 != in5 && in3 != in4 && in2 != in9 && in2 != in8 && in2 != in7 && in2 != in6 && in2 != in5 && in2 != in4 && in2 != in3 && in1 != in9 && in1 != in8 && in1 != in7 && in1 != in6 && in1 != in5 && in1 != in4 && in1 != in3 && in1 != in2 && in0 != in9 && in0 != in8 && in0 != in7 && in0 != in6 && in0 != in5 && in0 != in4 && in0 != in3 && in0 != in2 && in0 != in1
11,55,1088,0,117,1,55,0,55,0,0,0,in9 != in10 && in8 != in10 && in8 != in9 && in7 != in10 && in7 != in9 && in7 != in8 && in6 != in10 && in6 != in9 && in6 != in8 && in6 != in7 && in5 != in10 && in5 != in9 && in5 != in8 && in5 != in7 && in5 != in6 && in4 != in10 && in4 != in9 && in4 != in8 && in4 != in7 && in4 != in6 && in4 != in5 && in3 != in10 && in3 != in9 && in3 != in8 && in3 != in7 && in3 != in6 && in3 != in5 && in3 != in4 && in2 != in10 && in2 != in9 && in2 != in8 && in2 != in7 && in2 != in6 && in2 != in5 && in2 != in4 && in2 != in3 && in1 != in10 && in1 != in9 && in1 != in8 && in1 != in7 && in1 != in6 && in1 != in5 && in1 != in4 && in1 != in3 && in1 != in2 && in0 != in10 && in0 != in9 && in0 != in8 && in0 != in7 && in0 != in6 && in0 != in5 && in0 != in4 && in0 != in3 && in0 != in2 && in0 != in1
12,66,1276,0,117,1,66,0,66,0,0,0,in10 != in11 && in9 != in11 && in9 != in10 && in8 != in11 && in8 != in10 && in8 != in9 && in7 != in11 && in7 != in10 && in7 != in9 && in7 != in8 && in6 != in11 && in6 != in10 && in6 != in9 && in6 != in8 && in6 != in7 && in5 != in11 && in5 != in10 && in5 != in9 && in5 != in8 && in5 != in7 && in5 != in6 && in4 != in11 && in4 != in10 && in4 != in9 && in4 != in8 && in4 != in7 && in4 != in6 && in4 != in5 && in3 != in11 && in3 != in10 && in3 != in9 && in3 != in8 && in3 != in7 && in3 != in6 && in3 != in5 && in3 != in4 && in2 != in11 && in2 != in10 && in2 != in9 && in2 != in8 && in2 != in7 && in2 != in6 && in2 != in5 && in2 != in4 && in2 != in3 && in1 != in11 && in1 != in10 && in1 != in9 && in1 != in8 && in1 != in7 && in1 != in6 && in1 != in5 && in1 != in4 && in1 != in3 && in1 != in2 && in0 != in11 && in0 != in10 && in0 != in9 && in0 != in8 && in0 != in7 && in0 != in6 && in0 != in5 && in0 != in4 && in0 != in3 && in0 != in2 && in0 != in1
13,78,1479,0,117,1,78,0,78,0,0,0,in11 != in12 && in10 != in12 && in10 != in11 && in9 != in12 && in9 != in11 && in9 != in10 && in8 != in12 && in8 != in11 && in8 != in10 && in8 != in9 && in7 != in12 && in7 != in11 && in7 != in10 && in7 != in9 && in7 != in8 && in6 != in12 && in6 != in11 && in6 != in10 && in6 != in9 && in6 != in8 && in6 != in7 && in5 != in12 && in5 != in11 && in5 != in10 && in5 != in9 && in5 != in8 && in5 != in7 && in5 != in6 && in4 != in12 && in4 != in11 && in4 != in10 && in4 != in9 && in4 != in8 && in4 != in7 && in4 != in6 && in4 != in5 && in3 != in12 && in3 != in11 && in3 != in10 && in3 != in9 && in3 != in8 && in3 != in7 && in3 != in6 && in3 != in5 && in3 != in4 && in2 != in12 && in2 != in11 && in2 != in10 && in2 != in9 && in2 != in8 && in2 != in7 && in2 != in6 && in2 != in5 && in2 != in4 && in2 != in3 && in1 != in12 && in1 != in11 && in1 != in10 && in1 != in9 && in1 != in8 && in1 != in7 && in1 != in6 && in1 != in5 && in1 != in4 && in1 != in3 && in1 != in2 && in0 != in12 && in0 != in11 && in0 != in10 && in0 != in9 && in0 != in8 && in0 != in7 && in0 != in6 && in0 != in5 && in0 != in4 && in0 != in3 && in0 != in2 && in0 != in1
