inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,38,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
2,0,57,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
3,1,100,0,117,1,1,0,1,0,0,0,(in2 - in1) == (in1 - in0)
4,2,143,0,117,1,2,0,2,0,0,0,(in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
5,3,186,0,117,1,3,0,3,0,0,0,(in4 - in3) == (in3 - in2) && (in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
6,4,229,0,117,1,4,0,4,0,0,0,(in5 - in4) == (in4 - in3) && (in4 - in3) == (in3 - in2) && (in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
7,5,272,0,117,1,5,0,5,0,0,0,(in6 - in5) == (in5 - in4) && (in5 - in4) == (in4 - in3) && (in4 - in3) == (in3 - in2) && (in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
8,6,315,0,117,1,6,0,6,0,0,0,(in7 - in6) == (in6 - in5) && (in6 - in5) == (in5 - in4) && (in5 - in4) == (in4 - in3) && (in4 - in3) == (in3 - in2) && (in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
9,7,358,0,117,1,7,0,7,0,0,0,(in8 - in7) == (in7 - in6) && (in7 - in6) == (in6 - in5) && (in6 - in5) == (in5 - in4) && (in5 - in4) == (in4 - in3) && (in4 - in3) == (in3 - in2) && (in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
10,8,401,0,117,1,8,0,8,0,0,0,(in9 - in8) == (in8 - in7) && (in8 - in7) == (in7 - in6) && (in7 - in6) == (in6 - in5) && (in6 - in5) == (in5 - in4) && (in5 - in4) == (in4 - in3) && (in4 - in3) == (in3 - in2) && (in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
11,9,444,0,117,1,9,0,9,0,0,0,(in10 - in9) == (in9 - in8) && (in9 - in8) == (in8 - in7) && (in8 - in7) == (in7 - in6) && (in7 - in6) == (in6 - in5) && (in6 - in5) == (in5 - in4) && (in5 - in4) == (in4 - in3) && (in4 - in3) == (in3 - in2) && (in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
12,10,487,0,117,1,10,0,10,0,0,0,(in11 - in10) == (in10 - in9) && (in10 - in9) == (in9 - in8) && (in9 - in8) == (in8 - in7) && (in8 - in7) == (in7 - in6) && (in7 - in6) == (in6 - in5) && (in6 - in5) == (in5 - in4) && (in5 - in4) == (in4 - in3) && (in4 - in3) == (in3 - in2) && (in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
13,11,530,0,117,1,11,0,11,0,0,0,(in12 - in11) == (in11 - in10) && (in11 - in10) == (in10 - in9) && (in10 - in9) == (in9 - in8) && (in9 - in8) == (in8 - in7) && (in8 - in7) == (in7 - in6) && (in7 - in6) == (in6 - in5) && (in6 - in5) == (in5 - in4) && (in5 - in4) == (in4 - in3) && (in4 - in3) == (in3 - in2) && (in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
14,12,573,0,117,1,12,0,12,0,0,0,(in13 - in12) == (in12 - in11) && (in12 - in11) == (in11 - in10) && (in11 - in10) == (in10 - in9) && (in10 - in9) == (in9 - in8) && (in9 - in8) == (in8 - in7) && (in8 - in7) == (in7 - in6) && (in7 - in6) == (in6 - in5) && (in6 - in5) == (in5 - in4) && (in5 - in4) == (in4 - in3) && (in4 - in3) == (in3 - in2) && (in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
15,13,616,0,117,1,13,0,13,0,0,0,(in14 - in13) == (in13 - in12) && (in13 - in12) == (in12 - in11) && (in12 - in11) == (in11 - in10) && (in11 - in10) == (in10 - in9) && (in10 - in9) == (in9 - in8) && (in9 - in8) == (in8 - in7) && (in8 - in7) == (in7 - in6) && (in7 - in6) == (in6 - in5) && (in6 - in5) == (in5 - in4) && (in5 - in4) == (in4 - in3) && (in4 - in3) == (in3 - in2) && (in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
16,14,659,0,117,1,14,0,14,0,0,0,(in15 - in14) == (in14 - in13) && (in14 - in13) == (in13 - in12) && (in13 - in12) == (in12 - in11) && (in12 - in11) == (in11 - in10) && (in11 - in10) == (in10 - in9) && (in10 - in9) == (in9 - in8) && (in9 - in8) == (in8 - in7) && (in8 - in7) == (in7 - in6) && (in7 - in6) == (in6 - in5) && (in6 - in5) == (in5 - in4) && (in5 - in4) == (in4 - in3) && (in4 - in3) == (in3 - in2) && (in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
17,15,702,0,117,1,15,0,15,0,0,0,(in16 - in15) == (in15 - in14) && (in15 - in14) == (in14 - in13) && (in14 - in13) == (in13 - in12) && (in13 - in12) == (in12 - in11) && (in12 - in11) == (in11 - in10) && (in11 - in10) == (in10 - in9) && (in10 - in9) == (in9 - in8) && (in9 - in8) == (in8 - in7) && (in8 - in7) == (in7 - in6) && (in7 - in6) == (in6 - in5) && (in6 - in5) == (in5 - in4) && (in5 - in4) == (in4 - in3) && (in4 - in3) == (in3 - in2) && (in3 - in2) == (in2 - in1) && (in2 - in1) == (in1 - in0)
