inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,39,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
2,3,81,0,117,1,3,0,3,0,0,0,in1 >= CONST_100 && in0 == CONST_0 && in0 != CONST_1
3,4,123,0,117,1,4,0,4,0,0,0,in2 >= CONST_100 && in1 >= CONST_100 && in0 == CONST_0 && in0 != CONST_1
4,5,165,0,117,1,5,0,5,0,0,0,in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100 && in0 == CONST_0 && in0 != CONST_1
5,6,207,0,117,1,6,0,6,0,0,0,in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100 && in0 == CONST_0 && in0 != CONST_1
6,7,249,0,117,1,7,0,7,0,0,0,in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100 && in0 == CONST_0 && in0 != CONST_1
7,8,291,0,117,1,8,0,8,0,0,0,in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100 && in0 == CONST_0 && in0 != CONST_1
8,9,333,0,117,1,9,0,9,0,0,0,in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100 && in0 == CONST_0 && in0 != CONST_1
9,10,375,0,117,1,10,0,10,0,0,0,in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100 && in0 == CONST_0 && in0 != CONST_1
10,11,417,0,117,1,11,0,11,0,0,0,in9 >= CONST_100 && in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100 && in0 == CONST_0 && in0 != CONST_1
11,12,459,0,117,1,12,0,12,0,0,0,in10 >= CONST_100 && in9 >= CONST_100 && in8 >= CONST_100 && in7 >= CONST_100 && in6 >= CONST_100 && in5 >= CONST_100 && in4 >= CONST_100 && in3 >= CONST_100 && in2 >= CONST_100 && in1 >= CONST_100 && in0 == CONST_0 && in0 != CONST_1
