inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,0,50,0,117,1,0,0,0,0,0,0,CONSTRAINT N/A
2,1,78,0,117,1,1,0,1,0,0,0,in1 == (in0 * CONST_2)
3,2,106,0,117,1,2,0,2,0,0,0,in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
4,3,134,0,117,1,3,0,3,0,0,0,in3 == (in0 * CONST_4) && in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
5,4,162,0,117,1,4,0,4,0,0,0,in4 == (in0 * CONST_5) && in3 == (in0 * CONST_4) && in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
6,5,190,0,117,1,5,0,5,0,0,0,in5 == (in0 * CONST_6) && in4 == (in0 * CONST_5) && in3 == (in0 * CONST_4) && in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
7,6,218,0,117,1,6,0,6,0,0,0,in6 == (in0 * CONST_7) && in5 == (in0 * CONST_6) && in4 == (in0 * CONST_5) && in3 == (in0 * CONST_4) && in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
8,7,246,0,117,1,7,0,7,0,0,0,in7 == (in0 * CONST_8) && in6 == (in0 * CONST_7) && in5 == (in0 * CONST_6) && in4 == (in0 * CONST_5) && in3 == (in0 * CONST_4) && in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
9,8,274,0,117,1,8,0,8,0,0,0,in8 == (in0 * CONST_9) && in7 == (in0 * CONST_8) && in6 == (in0 * CONST_7) && in5 == (in0 * CONST_6) && in4 == (in0 * CONST_5) && in3 == (in0 * CONST_4) && in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
10,9,302,0,117,1,9,0,9,0,0,0,in9 == (in0 * CONST_10) && in8 == (in0 * CONST_9) && in7 == (in0 * CONST_8) && in6 == (in0 * CONST_7) && in5 == (in0 * CONST_6) && in4 == (in0 * CONST_5) && in3 == (in0 * CONST_4) && in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
11,10,330,0,117,1,10,0,10,0,0,0,in10 == (in0 * CONST_11) && in9 == (in0 * CONST_10) && in8 == (in0 * CONST_9) && in7 == (in0 * CONST_8) && in6 == (in0 * CONST_7) && in5 == (in0 * CONST_6) && in4 == (in0 * CONST_5) && in3 == (in0 * CONST_4) && in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
12,11,358,0,117,1,11,0,11,0,0,0,in11 == (in0 * CONST_12) && in10 == (in0 * CONST_11) && in9 == (in0 * CONST_10) && in8 == (in0 * CONST_9) && in7 == (in0 * CONST_8) && in6 == (in0 * CONST_7) && in5 == (in0 * CONST_6) && in4 == (in0 * CONST_5) && in3 == (in0 * CONST_4) && in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
13,12,386,0,117,1,12,0,12,0,0,0,in12 == (in0 * CONST_13) && in11 == (in0 * CONST_12) && in10 == (in0 * CONST_11) && in9 == (in0 * CONST_10) && in8 == (in0 * CONST_9) && in7 == (in0 * CONST_8) && in6 == (in0 * CONST_7) && in5 == (in0 * CONST_6) && in4 == (in0 * CONST_5) && in3 == (in0 * CONST_4) && in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
14,13,414,0,117,1,13,0,13,0,0,0,in13 == (in0 * CONST_14) && in12 == (in0 * CONST_13) && in11 == (in0 * CONST_12) && in10 == (in0 * CONST_11) && in9 == (in0 * CONST_10) && in8 == (in0 * CONST_9) && in7 == (in0 * CONST_8) && in6 == (in0 * CONST_7) && in5 == (in0 * CONST_6) && in4 == (in0 * CONST_5) && in3 == (in0 * CONST_4) && in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
15,14,442,0,117,1,14,0,14,0,0,0,in14 == (in0 * CONST_15) && in13 == (in0 * CONST_14) && in12 == (in0 * CONST_13) && in11 == (in0 * CONST_12) && in10 == (in0 * CONST_11) && in9 == (in0 * CONST_10) && in8 == (in0 * CONST_9) && in7 == (in0 * CONST_8) && in6 == (in0 * CONST_7) && in5 == (in0 * CONST_6) && in4 == (in0 * CONST_5) && in3 == (in0 * CONST_4) && in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
16,15,470,0,117,1,15,0,15,0,0,0,in15 == (in0 * CONST_16) && in14 == (in0 * CONST_15) && in13 == (in0 * CONST_14) && in12 == (in0 * CONST_13) && in11 == (in0 * CONST_12) && in10 == (in0 * CONST_11) && in9 == (in0 * CONST_10) && in8 == (in0 * CONST_9) && in7 == (in0 * CONST_8) && in6 == (in0 * CONST_7) && in5 == (in0 * CONST_6) && in4 == (in0 * CONST_5) && in3 == (in0 * CONST_4) && in2 == (in0 * CONST_3) && in1 == (in0 * CONST_2)
